Country_ID,NUTS_ID,Sector_ID,ets_emis_t,type,major
DE,DE21,C19-C20,2552942,"Home-market, import-protected (CBAM shields)",TRUE
DE,DE21,C23,826658,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE21,C24,25406,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE22,C19-C20,813834,"Home-market, import-protected (CBAM shields)",TRUE
DE,DE22,C23,496543,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE22,C24,26084,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE23,C23,1162579,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE23,C24,3854,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE24,C23,304490,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE25,C23,281209,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE26,C23,1414806,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE26,C24,43721,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE27,C23,948645,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE27,C24,107880,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE40,C19-C20,3123277,"Home-market, import-protected (CBAM shields)",TRUE
DE,DE40,C23,1401264,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE40,C24,1858801,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE50,C23,12875,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE50,C24,2800457,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE60,C19-C20,700545,"Home-market, import-protected (CBAM shields)",TRUE
DE,DE60,C24,410912,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE71,C19-C20,48496,"Home-market, import-protected (CBAM shields)",TRUE
DE,DE71,C23,169103,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE72,C23,287566,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE72,C24,334808,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE73,C23,257136,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE80,C19-C20,90355,"Home-market, import-protected (CBAM shields)",TRUE
DE,DE80,C23,103853,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE91,C19-C20,585,"Home-market, import-protected (CBAM shields)",TRUE
DE,DE91,C23,513910,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE91,C24,3896726,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE92,C19-C20,24631,"Home-market, import-protected (CBAM shields)",TRUE
DE,DE92,C23,1412394,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE93,C19-C20,17883,"Home-market, import-protected (CBAM shields)",TRUE
DE,DE93,C23,168356,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE93,C24,192069,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE94,C19-C20,1171299,"Home-market, import-protected (CBAM shields)",TRUE
DE,DE94,C23,128246,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DE94,C24,300986,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEA1,C19-C20,2295584,"Home-market, import-protected (CBAM shields)",TRUE
DE,DEA1,C23,2148699,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEA1,C24,13582159,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEA2,C19-C20,6622166,"Home-market, import-protected (CBAM shields)",TRUE
DE,DEA2,C23,396729,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEA2,C24,210490,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEA3,C19-C20,4448735,"Home-market, import-protected (CBAM shields)",TRUE
DE,DEA3,C23,2442756,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEA3,C24,28841,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEA4,C23,161649,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEA4,C24,45116,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEA5,C19-C20,370492,"Home-market, import-protected (CBAM shields)",TRUE
DE,DEA5,C23,3095564,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEA5,C24,877751,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEB1,C23,385101,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEB1,C24,100618,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEB2,C23,193528,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEB2,C24,9730,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEB3,C19-C20,2128707,"Home-market, import-protected (CBAM shields)",TRUE
DE,DEB3,C23,965386,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEB3,C24,37878,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEC0,C19-C20,677886,"Home-market, import-protected (CBAM shields)",TRUE
DE,DEC0,C23,0,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEC0,C24,5150010,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DED2,C23,71709,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DED2,C24,187796,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DED4,C23,95402,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DED4,C24,102387,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DED5,C19-C20,985740,"Home-market, import-protected (CBAM shields)",TRUE
DE,DED5,C23,205893,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DED5,C24,19926,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEE0,C19-C20,4575870,"Home-market, import-protected (CBAM shields)",TRUE
DE,DEE0,C23,3170680,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEE0,C24,204886,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEF0,C19-C20,2493733,"Home-market, import-protected (CBAM shields)",TRUE
DE,DEF0,C23,1019934,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEG0,C19-C20,1733,"Home-market, import-protected (CBAM shields)",TRUE
DE,DEG0,C23,1357894,"Home-market, low-trade (CBAM ~neutral)",TRUE
DE,DEG0,C24,104195,"Home-market, low-trade (CBAM ~neutral)",TRUE
DK,DK01,C23,0,"Home-market, low-trade (CBAM ~neutral)",TRUE
DK,DK01,C24,0,"Home-market, import-protected (CBAM shields)",FALSE
DK,DK02,C19-C20,532667,Export-exposed (CBAM no help abroad),TRUE
DK,DK02,C23,48047,"Home-market, low-trade (CBAM ~neutral)",TRUE
DK,DK03,C19-C20,395532,Export-exposed (CBAM no help abroad),TRUE
DK,DK03,C23,57253,"Home-market, low-trade (CBAM ~neutral)",TRUE
DK,DK04,C23,80280,"Home-market, low-trade (CBAM ~neutral)",TRUE
DK,DK05,C23,1729263,"Home-market, low-trade (CBAM ~neutral)",TRUE
EE,EE00,C19-C20,1960729,Export-exposed (CBAM no help abroad),FALSE
EE,EE00,C23,63948,"Home-market, low-trade (CBAM ~neutral)",FALSE
EL,EL30,C19-C20,3514705,Export-exposed (CBAM no help abroad),TRUE
EL,EL30,C23,278360,"Home-market, import-protected (CBAM shields)",FALSE
EL,EL30,C24,123750,Export-exposed (CBAM no help abroad),TRUE
EL,EL43,C23,2117,"Home-market, import-protected (CBAM shields)",FALSE
EL,EL51,C19-C20,154158,Export-exposed (CBAM no help abroad),TRUE
EL,EL51,C23,0,"Home-market, import-protected (CBAM shields)",FALSE
EL,EL52,C23,987680,"Home-market, import-protected (CBAM shields)",FALSE
EL,EL52,C24,45576,Export-exposed (CBAM no help abroad),TRUE
EL,EL53,C23,12399,"Home-market, import-protected (CBAM shields)",FALSE
