NUTS_ID,osm_banks,snapshot
ITF6,184,overpass-live-2026-07-05
ITG1,647,overpass-live-2026-07-05
ITG2,430,overpass-live-2026-07-05
ITH1,301,overpass-live-2026-07-05
ITH2,386,overpass-live-2026-07-05
ITH3,1481,overpass-live-2026-07-05
ITH4,522,overpass-live-2026-07-05
ITH5,1331,overpass-live-2026-07-05
ITI1,1206,overpass-live-2026-07-05
ITI2,259,overpass-live-2026-07-05
ITI3,351,overpass-live-2026-07-05
ITI4,876,overpass-live-2026-07-05
LT01,46,overpass-live-2026-07-05
LT02,148,overpass-live-2026-07-05
LU00,206,overpass-live-2026-07-05
LV00,110,overpass-live-2026-07-05
MT00,85,overpass-live-2026-07-05
NL11,27,overpass-live-2026-07-05
NL12,22,overpass-live-2026-07-05
NL13,19,overpass-live-2026-07-05
NL21,40,overpass-live-2026-07-05
NL22,69,overpass-live-2026-07-05
NL23,19,overpass-live-2026-07-05
NL31,37,overpass-live-2026-07-05
NL32,69,overpass-live-2026-07-05
NL33,87,overpass-live-2026-07-05
NL34,13,overpass-live-2026-07-05
NL41,72,overpass-live-2026-07-05
NL42,33,overpass-live-2026-07-05
PL21,560,overpass-live-2026-07-05
PL22,731,overpass-live-2026-07-05
PL41,714,overpass-live-2026-07-05
PL42,292,overpass-live-2026-07-05
PL43,264,overpass-live-2026-07-05
PL51,566,overpass-live-2026-07-05
PL52,147,overpass-live-2026-07-05
PL61,381,overpass-live-2026-07-05
PL62,270,overpass-live-2026-07-05
PL63,433,overpass-live-2026-07-05
PL71,482,overpass-live-2026-07-05
PL72,191,overpass-live-2026-07-05
PL81,463,overpass-live-2026-07-05
PL82,381,overpass-live-2026-07-05
PL84,244,overpass-live-2026-07-05
PL91,545,overpass-live-2026-07-05
PL92,353,overpass-live-2026-07-05
PT11,859,overpass-live-2026-07-05
PT15,133,overpass-live-2026-07-05
PT16,670,overpass-live-2026-07-05
PT17,663,overpass-live-2026-07-05
PT18,257,overpass-live-2026-07-05
PT20,65,overpass-live-2026-07-05
PT30,70,overpass-live-2026-07-05
RO11,349,overpass-live-2026-07-05
RO12,454,overpass-live-2026-07-05
RO21,282,overpass-live-2026-07-05
RO22,339,overpass-live-2026-07-05
RO31,345,overpass-live-2026-07-05
RO32,629,overpass-live-2026-07-05
RO41,257,overpass-live-2026-07-05
RO42,313,overpass-live-2026-07-05
SE11,105,overpass-live-2026-07-05
SE12,95,overpass-live-2026-07-05
SE21,69,overpass-live-2026-07-05
SE22,123,overpass-live-2026-07-05
SE23,130,overpass-live-2026-07-05
SE31,65,overpass-live-2026-07-05
SE32,40,overpass-live-2026-07-05
SE33,64,overpass-live-2026-07-05
SI03,176,overpass-live-2026-07-05
SI04,164,overpass-live-2026-07-05
SK01,172,overpass-live-2026-07-05
SK02,322,overpass-live-2026-07-05
SK03,205,overpass-live-2026-07-05
SK04,247,overpass-live-2026-07-05
HR04,495,overpass-live-2026-07-05
