lat,lon
56.5105191,21.0115257
56.5103648,21.0123776
56.624954,23.2804064
56.4058866,24.188273
56.4080938,24.1955292
56.4075419,24.1947051
56.6004794,25.2529255
56.4935982,25.8714762
56.4933413,25.8709112
56.4928348,25.8703328
56.4978736,25.8664529
56.4978294,25.867403500000002
55.8709983,26.5171223
55.8681028,26.521909
55.8715161,26.518566
55.8717835,26.5193958
55.8719216,26.5197654
55.8683591,26.5159011
55.8688176,26.5278713
57.3921267,21.5643956
57.4031275,21.5876629
56.6653526,22.4923585
56.6639554,22.4946703
56.6663074,22.4938096
56.6668532,22.4955768
56.6664273,22.4943995
57.2435911,22.5848569
57.2447771,22.5871083
57.2442136,22.5901248
56.9658972,23.1612806
56.6482821,23.7252756
56.6529332,23.7290888
56.9465971,23.6189755
56.7969347,23.9245257
56.9267089,24.0356271
56.929558,24.0375019
56.9539839,24.0375557
56.9296589,24.0395115
56.9314336,24.0396389
56.9312183,24.0392837
56.9311635,24.0391546
56.9181752,24.1039959
56.9266005,24.1031299
56.9360854,24.0707365
56.9489313,24.0893792
56.9496475,24.1028299
56.9494265,24.1040542
56.95353,24.1004441
56.9488241,24.103391
56.9533157,24.1015973
56.9472019,24.108877
56.9469523,24.1099982
56.9596817,23.9963805
56.9607223,24.0377305
56.9558836,24.1099178
56.9573783,24.1089259
57.040538,24.0279203
56.908258,24.1466034
56.9214649,24.1694608
56.9470771,24.1190018
56.9519321,24.1230327
56.9483195,24.1234388
56.9254459,24.174274
56.9249472,24.1747371
56.9433225,24.2160662
56.955799,24.1208112
56.9545,24.12057
56.9645929,24.1215952
56.9665129,24.1417378
56.9710685,24.1221478
56.9742621,24.1373081
56.96633,24.16123
56.9668392,24.1640005
56.966725,24.1638555
56.9897332,24.239857
56.8167842,24.5847559
56.8159901,24.5999499
57.3131038,25.2766923
57.3140995,25.2760105
57.3129722,25.2737978
57.3143224,25.2780963
57.4239417,25.9084959
57.4261436,25.9002653
56.8518245,26.2203746
56.8543009,26.224503
56.9019155,26.7218724
57.1730936,26.7571181
57.5374372,25.4114275
57.5379334,25.4192514
57.5381,25.4196437
57.5380465,25.4215076
57.771613,26.0163621
56.3474664,27.1619067
56.5017128,27.3293132
56.5051369,27.3296898
56.5470575,27.7207751
56.5467825,27.7265123
57.4244645,27.0494363
57.1323874,27.2659775
56.506788,21.009327
56.5058183,21.0118122
55.86786,26.5214709
56.9660874,23.1546094
56.9522182,24.1028025
56.9505287,24.1061314
56.9707361,24.1188336
56.9824028,24.2050276
56.9829722,24.2039897
57.1731597,26.7594915
56.5094845,27.3340772
