lat,lon
49.4399733,12.9251583
49.390113,13.0395386
49.3907862,13.039597
49.3956969,13.2932252
49.3941027,13.2940869
49.3959217,13.2909698
49.3957022,13.2936891
49.3952533,13.2942112
49.3954527,13.294244
49.3978516,13.2943442
49.7951103,12.6334096
49.7982891,12.6338393
49.8688602,12.7369008
49.5932913,13.0992472
49.5730596,13.3292994
49.5716116,13.3301014
49.571829,13.3302435
49.7529895,13.0064248
49.7533385,13.0048692
49.7440648,13.3284075
49.7232972,13.3726616
49.7433387,13.3757311
49.744388,13.378709
49.7445135,13.3782927
49.7432283,13.3822449
49.7432183,13.3818988
49.7316853,13.4010307
49.7319269,13.4008937
49.7319352,13.4036434
49.7328062,13.3994711
49.7496651,13.3700033
49.7482418,13.3705034
49.7466229,13.3756423
49.7482695,13.3814505
49.7464502,13.3783907
49.7470313,13.3785119
49.7472319,13.3765182
49.7527524,13.3775949
49.7460302,13.3829434
49.7668464,13.370878
49.7571698,13.4206438
49.7757119,13.3681415
49.7757863,13.3681713
49.8428489,13.3607498
50.0758843,12.3687725
50.0774473,12.372006
50.0758981,12.3725364
50.0753507,12.3702397
50.0775333,12.3702048
50.0752457,12.3742791
50.2201264,12.1909603
50.2203822,12.190539
50.2193572,12.1918941
50.2196777,12.1918424
50.2157,12.3516961
50.3290644,12.510026
49.9497593,12.7133513
49.9604947,12.6954381
49.9660123,12.7013313
50.0592401,12.9854492
50.1766967,12.6469661
50.1763957,12.6481486
50.1808703,12.6441675
50.180193,12.645814
50.1808664,12.6439657
50.179952,12.6440082
50.1763339,12.669435
50.2423662,12.7441739
50.2387663,12.7482429
50.2386741,12.7486544
50.3243706,12.7325875
50.2269073,12.8402698
50.2291814,12.8643453
50.2294968,12.8703058
50.2289754,12.8697939
50.2291315,12.8692977
50.2295903,12.8709528
50.2300006,12.8692119
50.2283911,12.8666073
50.2300796,12.8688806
50.230276,12.8681981
50.2300992,12.8687693
50.2301565,12.8685529
50.3071423,12.9490015
50.3091585,12.9464794
50.309978,12.9455664
50.3769454,13.2693044
50.3778925,13.2706671
50.3773203,13.2715076
50.3773851,13.2711686
50.4601977,13.418224
49.0534168,13.7733728
49.0538787,13.7771769
48.9945983,14.1501127
48.6165039,14.3123518
48.8110768,14.3149544
