lat,lon
-14.293929,-178.1588013
-13.2815828,-176.1865647
-13.2804501,-176.1754341
-17.6179244,-149.6143626
-17.761386,-149.506304
-17.7613604,-149.503535
-17.7616738,-149.5035251
-17.7277394,-149.31869
-17.5191835,-149.7807409
-17.4817174,-149.8077
-17.4821525,-149.807266
-17.4817112,-149.8074992
-17.5807187,-149.6151096
-17.5563986,-149.6050782
-17.5463625,-149.5862166
-17.5430033,-149.567982
-17.5423936,-149.567332
-17.5418578,-149.571609
-17.5415652,-149.571812
-17.540981,-149.569832
-17.5404201,-149.569324
-17.5403879,-149.567537
-17.5388182,-149.5663194
-17.5402437,-149.568952
-17.53751,-149.568053
-17.5379147,-149.5672838
-17.5385517,-149.568102
-17.539869499999998,-149.5660283
-17.5381289,-149.5649827
-17.5359807,-149.559301
-17.5323144,-149.5678194
-17.5320689,-149.5704582
-17.5314254,-149.570604
-17.5327506,-149.5679219
-17.5313329,-149.552948
-17.530783,-149.5523963
-17.5071407,-149.4914857
-16.7312846,-151.4418841
-16.7309575,-151.4420492
-16.6359251,-151.4918801
-16.5830249,-151.4951134
-16.5068552,-151.7514868
-16.5103653,-151.7496651
-16.5017985,-151.7514515
-16.7144425,-151.0341432
-16.7081419,-151.034651
-14.9449947,-147.708233
-14.9564034,-147.6597821
-15.8249291,-140.8899889
-8.9123302,-140.0965138
-9.3608338,-140.0486889
5.4939338,-54.0206471
14.4713596,-60.8792782
14.4711155,-60.8795652
14.4733314,-60.8746421
14.4734083,-60.873844
14.4727589,-60.8759483
14.472812,-60.8748377
14.6093309,-61.0971688
14.6049327,-61.0836778
14.6164466,-61.0843239
14.6179796,-61.0828418
14.6184336,-61.0819741
14.6187812,-61.0833092
14.6031026,-61.0688657
14.6039205,-61.0691907
14.6057645,-61.0701639
14.6172103,-61.0425463
14.6172988,-61.0319946
14.5254886,-60.9812938
14.5253859,-60.9810586
14.5712892,-60.9808881
14.5763271,-60.9727282
14.6167532,-61.0172635
14.6167569,-61.0032808
14.6194791,-61.0204164
14.6226126,-60.9892666
14.6736881,-60.9448288
14.6761421,-60.9406037
14.8325994,-61.054908
14.8329482,-61.0554907
14.8681814,-61.122385
14.7393367,-60.9632343
14.739748,-60.9632764
14.7838265,-60.9950399
14.7831426,-60.9914355
15.882751,-61.315526
15.8826143,-61.3152852
15.9911052,-61.7276692
15.9936103,-61.7264657
15.9945368,-61.7297561
15.9997312,-61.718994
16.0119402,-61.7417436
16.3318318,-61.6966811
16.3319128,-61.6954912
15.9754181,-61.6428858
16.042358,-61.5650387
16.0425327,-61.5654055
16.0445904,-61.5629901
16.0523356,-61.5636546
16.047093,-61.5627377
16.1330691,-61.5800611
16.2409654,-61.5843577
16.2392635,-61.5849387
16.2394711,-61.5714717
16.2407839,-61.5718427
16.240974,-61.5719068
16.2428128,-61.5554535
16.2563579,-61.570508
16.2076509,-61.5009364
16.215322,-61.5023793
16.241286,-61.5354338
16.2367462,-61.5372881
16.2369314,-61.5364096
16.2411415,-61.534934
16.2423228,-61.5346216
16.2184337,-61.5163875
16.2472644,-61.5391935
16.2519532,-61.5406589
16.254112,-61.5234182
16.2542098,-61.5226274
16.2673692,-61.5156962
16.2707224,-61.6361525
16.272499,-61.5182542
16.2759092,-61.5107715
16.2242015,-61.3855517
16.224389,-61.3855469
16.3306625,-61.355302
16.3337674,-61.3571442
16.2930935,-61.2905523
4.8877861,-52.3319688
4.887729,-52.3329924
4.8999519,-52.3279101
4.9396688,-52.3332036
4.9386114,-52.3328344
4.9411425,-52.3335144
4.939345,-52.3344429
4.9405538,-52.3265947
4.888756,-52.28434
4.9046987,-52.3216882
4.9024834,-52.3194373
4.9056239,-52.3197576
4.9288988,-52.3020883
4.9357503,-52.3127506
4.939317,-52.3158449
4.9259213,-52.2891519
4.9258231,-52.2884603
4.9232184,-52.2831926
4.9361205,-52.2966347
5.1602645,-52.642984
5.1655696,-52.641017
5.1708435,-52.6511542
17.9033625,-62.8400023
17.9031196,-62.8408146
18.0599073,-63.0862638
18.0970025,-63.0412469
18.0971039,-63.0416436
18.0970195,-63.0414757
46.776979,-56.1767031
46.7811428,-56.1712391
43.1794843,-1.340053
43.1627977,-1.2401371
43.1640195,-1.2381198
43.1619957,-1.2385208
43.165839,-1.2334483
43.1671295,-1.233377
43.1165147,-0.8629204
43.1159997,-0.8630411
43.1168812,-0.8637343
42.9879445,-0.4260231
42.9877174,-0.4267602
43.1033363,-0.4265525
43.1876279,-0.61791
43.1883898,-0.6108234
43.1964529,-0.6192426
43.1925515,-0.6132533
43.1927393,-0.6115303
43.1931519,-0.6041476
43.1921047,-0.6072347
42.9573321,-0.3314603
42.8895996,-0.1149312
42.8906604,-0.1139091
42.8722807,-0.0050766
43.0065993,-0.1013551
43.0059784,-0.100634
43.0057173,-0.1007842
43.0058751,-0.1002741
43.0066469,-0.1008264
43.1800801,-0.2622348
43.1796474,-0.2625011
43.1800464,-0.2616969
43.1799955,-0.260981
43.0935707,-0.0460514
43.0949869,-0.0465276
43.0952691,-0.0460884
43.0959892,-0.0460616
43.0963197,-0.0459771
43.3447149,-1.7618599
43.3579824,-1.776503
43.3594726,-1.7757888
43.3587899,-1.7759216
43.3569425,-1.7744695
43.3577172,-1.7745744
43.3565179,-1.7742048
43.3712143,-1.7727775
43.3744536,-1.67777
43.3810911,-1.6685171
43.3843055,-1.6665933
43.3877265,-1.6605418
43.3874443,-1.6630156
43.3873969,-1.6620134
43.3875796,-1.6615985
43.3871517,-1.6608325
43.3874925,-1.6618038
43.3849992,-1.6535791
43.3895399,-1.6586267
43.3893664,-1.6580733
43.3886704,-1.6582263
43.3881996,-1.6593341
43.4051229,-1.6273981
43.356285,-1.5504107
43.3556861,-1.5506675
43.3609555,-1.3984675
