lat,lon
27.6408337,-17.9811322
27.7036868,-17.9811467
27.705385,-17.9794965
27.7528444,-18.0168254
27.7522302,-18.0147412
27.7520624,-18.0120715
27.8058845,-17.9137744
27.8064272,-17.9152158
27.806169,-17.9150521
27.8077868,-17.9157427
27.8071177,-17.9153
27.8064386,-17.9152481
28.0881158,-17.3356479
28.0882765,-17.3390274
28.0949534,-17.3355835
28.0949883,-17.3356614
28.0289756,-17.1968444
28.1098688,-17.2815644
28.091639,-17.11284
28.0914304,-17.113221
28.090976,-17.1097521
28.0911271,-17.1111849
28.0906718,-17.1097079
28.0911657,-17.1106
28.0927697,-17.1116377
28.092351,-17.1135378
28.4941741,-17.8447461
28.6410912,-17.9331624
28.64157,-17.9345202
28.7104859,-17.9557117
28.7105598,-17.9554169
28.658316,-17.9130673
28.6576465,-17.9129904
28.6579633,-17.914421
28.6582988,-17.9122915
28.6517086,-17.8803042
28.6064994,-17.7801568
28.606909,-17.7794556
28.6641233,-17.7870366
28.6460865,-17.7672951
28.6815722,-17.7661826
28.6821661,-17.7649605
28.6837586,-17.7642679
28.6825552,-17.7652863
28.6824261,-17.7655316
28.6847183,-17.7651162
28.6834742,-17.7642033
28.682268,-17.7650813
28.7398624,-17.7449202
28.7656246,-17.978857
28.773497,-17.978134
28.8040393,-17.7744637
28.8039455,-17.7744172
28.80483,-17.7744032
28.8288186,-17.8033584
28.8024904,-17.7730424
28.1652117,-17.1976163
28.179003,-17.2663407
28.1677162,-17.1954918
28.1676407,-17.1956269
28.1864179,-17.1952008
28.1296032,-16.781219
28.1806253,-16.815862
28.1820829,-16.8153475
28.2009008,-16.8267188
28.2007717,-16.8266281
28.2081365,-16.7773334
28.2095805,-16.7806205
28.2094575,-16.7783257
28.2114652,-16.781547
28.210568,-16.7814183
28.2295611,-16.8402549
28.2316267,-16.8410875
28.2385704,-16.8419512
28.2442305,-16.8414493
28.244123,-16.8409367
28.2441994,-16.8414706
28.2374786,-16.7945615
28.2694607,-16.8193249
28.2697622,-16.8190573
28.2967908,-16.8159158
28.3712982,-16.8507681
28.371713,-16.8510975
28.3699157,-16.8491761
28.3654492,-16.8181054
28.3654718,-16.8192253
28.3561721,-16.7777729
28.356546,-16.7809032
28.3563257,-16.7793989
28.3564802,-16.7811559
28.0087942,-16.6544171
28.0086787,-16.6537112
28.0577472,-16.7336514
28.0571644,-16.7289483
28.0571604,-16.7289343
28.0571412,-16.7288392
28.0566491,-16.7264778
28.0594872,-16.7336282
28.0598446,-16.7333072
28.0607021,-16.732484
28.0619277,-16.7309394
28.0518522,-16.7217457
28.0525356,-16.7146873
28.0519825,-16.7170342
28.0487375,-16.7109658
28.0588721,-16.721288
28.057361,-16.7228484
28.0547656,-16.7125387
28.053762,-16.7128938
28.0549308,-16.7132762
28.054391,-16.7142464
28.0543687,-16.7127326
28.0527821,-16.7151262
28.0682874,-16.7320834
28.0723412,-16.7300074
28.0770707,-16.731761
28.0784616,-16.7322593
28.0783684,-16.7323117
28.0734627,-16.7310612
28.077975,-16.7270046
28.0872111,-16.7326498
28.0870218,-16.7327249
28.0869082,-16.7327785
28.0902434,-16.7346171
28.0885063,-16.7282116
28.0784642,-16.6811395
28.0975944,-16.6824715
28.0975755,-16.6826807
28.0296489,-16.5941772
28.0498528,-16.6110606
28.0533694,-16.6114508
28.0739043,-16.6723401
28.0736529,-16.6714973
28.0992684,-16.6173682
28.0989975,-16.6186753
28.0995803,-16.6169719
28.0995677,-16.6170754
28.0450865,-16.5383777
28.0448101,-16.5390934
28.0450415,-16.539117
28.0715412,-16.5561212
28.0797767,-16.5581783
27.8189722,-15.7639088
27.7595546,-15.6816611
27.7595219,-15.6818763
27.7927823,-15.7072714
27.7933691,-15.7069599
27.7932489,-15.7070191
27.7918987,-15.7081723
27.7919367,-15.7077121
27.7391579,-15.6000715
27.7528908,-15.5776885
27.7609015,-15.5787079
27.7612322,-15.5791598
27.762655,-15.5793923
27.7621576,-15.5791202
27.7631156,-15.5793336
27.7587285,-15.5761258
27.758721,-15.5759725
27.7582504,-15.5760488
27.7580159,-15.5760664
27.7591589,-15.5700573
27.7635303,-15.5650409
27.7594423,-15.5672832
27.7611645,-15.5657523
27.8835294,-15.7238731
27.9852694,-15.7812563
27.9850024,-15.7804572
27.9253768,-15.5733303
27.9940678,-15.6146076
28.0100011,-15.5325325
28.0097186,-15.5329081
28.0104228,-15.5311228
28.0205264,-15.6463333
28.0996935,-15.700097
28.059295,-15.5473657
28.0601004,-15.5468818
28.0603903,-15.5465742
28.0606687,-15.5464187
28.060766,-15.5465392
28.1105736,-15.5830011
28.1074522,-15.5632522
27.8380363,-15.4492373
27.8429309,-15.4421701
27.8498285,-15.4419478
27.8548582,-15.4388446
27.9043131,-15.4447035
27.9042258,-15.445032
