lat,lon
45.5032058,13.6037732
45.5042421,13.602981399999999
45.5035219,13.603577
45.5280728,13.5688657
45.5441067,13.728565
45.5440171,13.7299665
45.5436656,13.7349022
45.5433882,13.7336976
45.5450028,13.7293729
45.5460924,13.7282715
45.5461788,13.7279563
45.5461645,13.7279466
45.5451289,13.7287143
45.5790293,13.7378212
45.6076994,13.936158
45.6079712,13.935386
45.7059624,13.8644437
45.7073623,13.8682405
45.7070625,13.8687033
45.7072306,13.8696096
45.7089492,13.8732137
45.5635591,14.2448823
45.5659714,14.2432365
45.6850852,14.1971357
45.9976252,13.5271118
45.9557102,13.6503264
45.9560987,13.6482532
45.9557701,13.6494342
45.957713,13.6475433
45.9577394,13.6480738
45.9579874,13.6487726
45.8865726,13.9060524
45.8873806,13.9042983
45.8812283,14.0021323
45.772368,14.2018326
45.7736096,14.2124333
45.774923,14.2124189
45.7749545,14.2120156
45.7755218,14.2127036
45.7753614,14.2134886
45.9128279,14.226797
45.917502,14.2228941
46.0010973,14.0243406
46.0005216,14.0223893
46.0011599,14.0224415
46.0013605,14.0253046
46.0479076,14.1098615
46.1055001,14.1432989
46.2474854,13.5785252
46.2479627,13.5780182
46.182946,13.7347457
46.1829395,13.7327911
46.1845386,13.7366337
46.4840344,13.7818078
46.2966885,13.9288364
46.2722896,13.9531415
46.34195,14.1727641
46.3432285,14.1721773
46.345052,14.1715303
46.3453464,14.1769417
46.3535934,14.163197
46.3549255,14.1637118
46.3680021,14.109329
46.3696243,14.1177266
46.4362152,14.0584214
45.793111,14.3626368
45.7937283,14.3626808
45.7942042,14.3605803
45.9632758,14.2951251
45.9657508,14.2975252
45.9750228,14.3059224
46.0380568,14.4680768
46.050293,14.4602917
46.0965729,14.4657026
46.1138636,14.4615362
46.0146926,14.5124683
46.0388466,14.4764497
46.0431116,14.4820914
46.0210018,14.539315
46.0358312,14.5245988
45.9575395,14.6524051
45.9567568,14.654716
45.9575272,14.6543186
46.0715284,14.4726298
46.0659145,14.4929172
46.0735781,14.4863826
46.0723775,14.4866441
46.0499521,14.5006894
46.05345,14.5065647
46.0548011,14.5059983
46.0509255,14.5075978
46.0502805,14.5070107
46.049019,14.504625
46.0553859,14.5051611
46.048979,14.5045619
46.0516867,14.505131
46.0538992,14.5059248
46.0538695,14.5062716
46.052832,14.5035281
46.0561049,14.5092159
46.0562509,14.5065318
46.0557763,14.5062437
46.0556282,14.5090425
46.0555001,14.5089702
46.0504826,14.5149618
46.0574483,14.5099719
46.0647094,14.5092881
46.0645708,14.5099254
46.0631379,14.5134987
46.0863983,14.4762367
46.0874826,14.4781633
46.0764699,14.4834828
46.0756392,14.5113279
46.0774933,14.5126916
46.0827865,14.5139937
46.0823085,14.5139763
46.0894377,14.5114324
46.0562812,14.5338747
46.0681316,14.5406888
46.0677612,14.5453942
46.0688427,14.5424295
46.0541003,14.5526438
46.0548585,14.5585317
46.0548869,14.5589032
46.1203181,14.5491046
46.056116,14.5841485
46.0609908,14.6155004
46.1397318,14.5946858
45.9384151,14.8057561
45.9078634,15.0091172
46.1379687,14.9903568
46.1477249,15.041955
46.1484422,15.0427295
46.146505,15.0838114
46.1675171,14.3046952
46.1677017,14.305333
46.1676054,14.3077102
46.1741077,14.3203358
46.2445755,14.3544259
46.2433156,14.3545918
46.2421793,14.3548316
46.2432192,14.3545732
46.2414817,14.355791
46.2473807,14.3558311
46.2474583,14.355054
46.2434542,14.4179548
46.362711,14.3093186
46.2007036,14.5943768
46.2258032,14.6114719
46.2268539,14.6115106
46.2956539,14.8053378
46.1557736,14.9289114
46.2458349,14.9522418
46.3774518,15.0479935
46.5447781,14.9661684
46.5446134,14.9654147
46.5083633,15.0775391
45.5741096,15.1907322
45.5789401,15.1951124
45.6457123,15.3170017
45.798706,15.1556646
45.8047297,15.1653106
45.8044698,15.1682221
45.8042882,15.1687838
45.9356687,15.4838887
