lat,lon
42.9604076,16.7169788
42.9614324,16.7174355
42.9606084,16.7167161
43.158991,16.3914421
43.1716498,16.4414855
43.172531,16.4399862
43.1269211,16.6395186
43.1630806,16.6940256
43.160975,16.6926312
42.7690659,16.8954605
42.9383827,16.790174
42.9392124,16.7892542
42.9384544,16.7898943
42.9295174,16.8939315
42.9295505,16.8939057
42.9604127,17.1347246
42.960327,17.1353276
42.9605189,17.136221
42.959783,17.133879
42.9739131,17.1768072
43.0499024,17.4340184
43.0167586,17.5631061
43.0168482,17.5599961
42.5808155,18.2189343
42.5808358,18.2176219
42.5184441,18.3694417
42.5175276,18.3750713
42.6487028,18.0830939
42.6512701,18.0910984
42.6516371,18.0908033
42.6518978,18.0912857
42.651638,18.0931513
42.6509561,18.0916163
42.6524657,18.0895687
42.6520953,18.0885976
42.6511525,18.0918391
42.6522783,18.0906086
42.6506456,18.0915335
42.6515302,18.0920352
42.641339,18.1096325
42.6413686,18.1092406
42.6574051,18.0881265
42.6570267,18.0885409
42.6754512,18.1070852
42.8378801,17.6966159
43.0082269,17.6244555
43.0542272,17.6457746
43.0541933,17.6441044
44.826444,13.8789409
44.8238042,13.9320458
44.8681183,13.8473732
44.8685334,13.8446872
44.8676256,13.8466873
44.8687953,13.8487413
44.8647574,13.849853
44.8687329,13.8488847
44.8692905,13.8432125
44.8714311,13.8465848
44.8725679,13.8460613
44.869869,13.8486522
44.8708934,13.8484456
44.8281343,13.9572359
44.4434856,15.0540167
44.5336629,14.4681266
44.5312885,14.4698371
44.531491,14.4693803
44.5328549,14.4686632
44.5264697,14.4711142
44.5519315,14.8839485
44.5526984,14.884768
44.5563137,14.8829997
44.7612598,14.7598873
44.7580605,14.759874
43.5881146,15.9241849
43.9373514,15.1670406
43.9374989,15.4448449
43.9364243,15.4434126
43.9363436,15.4433399
43.9369871,15.4445084
43.9080907,15.505165
43.8214725,15.5860052
43.7989565,15.6408105
43.7130343,15.9126278
43.7130848,15.9125013
43.7129861,15.9127374
43.7234373,15.9086003
43.7326926,15.8971206
43.7319955,15.8966503
43.7331545,15.8952707
43.7337366,15.8935796
43.7347072,15.8928601
43.7322782,15.896825
43.731953,15.8971292
43.7334991,15.8948608
43.7345059,15.8942346
43.7346301,15.8940007
43.7339307,15.8938656
43.7582297,15.776649
43.7574775,15.7755533
43.7596319,15.7782606
43.7594384,15.7780518
43.7591483,15.7767943
43.7869936,15.8233301
43.8176226,15.9232136
44.0320297,15.6142074
44.033033,15.6128453
43.5171813,16.2517845
43.5167138,16.2515058
43.517589,16.2507963
43.5186284,16.246746
43.5186184,16.25312
43.5504629,16.343498
43.5531954,16.344582
43.3846777,16.5518586
43.3815356,16.5607976
43.3850084,16.5550996
43.5047964,16.454604
43.5048398,16.4550158
43.5052388,16.4555128
43.5048195,16.4548876
43.5057064,16.4607645
43.5081382,16.437821
43.5071492,16.4429069
43.5108064,16.4366627
43.5103071,16.4385564
43.5101138,16.443851
43.5141381,16.4409421
43.5140371,16.4390333
43.5140379,16.440289
43.5140453,16.4382837
43.515131,16.439802
43.5129344,16.4488599
43.5148728,16.4485618
43.5159396,16.4448166
43.5172948,16.4447596
43.5165496,16.4449942
43.5189942,16.4481109
43.5168775,16.4453682
43.5191237,16.4472198
43.517831,16.4472052
43.518538,16.4473865
43.5087365,16.4506426
43.5102583,16.4545433
43.513018,16.451097
43.5137129,16.4552851
43.5198407,16.4461341
43.5196664,16.4532923
43.520113,16.4500702
43.5070187,16.4654888
43.5080446,16.4666273
43.5083961,16.4670399
43.51174,16.4662942
43.5089112,16.4678949
43.5074061,16.4670732
43.5076272,16.4673507
43.5078628,16.4695655
43.5082074,16.4749002
43.5136735,16.4716728
43.513374,16.4719176
43.5068189,16.4828551
43.5064761,16.4830573
43.5199916,16.4670178
43.5209655,16.4647254
43.5134696,16.5041469
43.5153677,16.5288975
43.5510754,16.3628332
43.5501872,16.3850645
43.5364161,16.4905643
43.5365192,16.4902456
43.5381438,16.4912804
43.4607272,16.5967816
43.4445892,16.6407395
43.444206,16.686061
43.4452589,16.6869117
43.4443718,16.690947
43.4449009,16.6862792
43.6174017,16.730115
43.6163206,16.7292977
43.8606457,16.1545771
43.8612789,16.1538365
43.8608529,16.1544362
44.036241,16.197326
44.0347079,16.1972246
44.0344881,16.1970744
44.0362367,16.1972409
44.0387115,16.1972753
44.0439425,16.1994234
43.7009007,16.6356914
43.7009781,16.6357072
43.7016708,16.6383002
43.7021351,16.6393603
43.701073,16.6375025
43.7020273,16.6374763
43.702088,16.6370302
43.7006466,16.6370008
43.6990381,16.6409218
43.9114293,16.3971335
44.0760201,15.1937664
44.1072736,15.2410402
44.1074133,15.2417354
44.1084288,15.2435056
44.1087448,15.2410676
44.107743,15.2436771
44.1151832,15.2258215
44.1150213,15.2260546
44.1177544,15.2211623
44.1161044,15.2260497
44.1159252,15.2258314
44.1321714,15.2118153
44.110915,15.2334666
44.115007,15.2328126
44.1140368,15.2327837
44.1147705,15.2334221
44.114315,15.2334062
44.1148364,15.233006
44.1147747,15.2332984
44.1119711,15.2347529
44.1104123,15.2391639
44.1107101,15.2374819
44.1101203,15.2425032
44.1172172,15.2328203
44.1166312,15.231711
44.1162374,15.2310531
44.1162226,15.2330141
44.1185463,15.235396
44.1166166,15.2312891
44.1170122,15.2393259
44.1152043,15.2559741
44.1196211,15.2550986
44.1159277,15.2552596
44.1174951,15.2711873
44.116421,15.271994
44.200835,15.6833642
44.5475264,15.3714368
44.8694493,15.2383348
44.7434118,15.706954
44.7439136,15.7070004
44.8811228,15.6220053
45.0630754,13.6743684
45.082141,13.6348054
45.0822306,13.6355544
45.0799772,13.6369231
45.0801506,13.6363279
45.0804198,13.6361114
45.0800307,13.6381653
45.0800302,13.6381347
45.1484205,13.6020504
45.1743207,13.6057262
45.2260265,13.5960228
45.2266274,13.5943165
45.2269838,13.5951807
45.227465,13.5945684
45.2272116,13.6001875
45.2278119,13.6031674
45.226113,13.6033475
45.3014824,13.6252382
45.2762863,13.7197304
44.9547098,13.9543926
45.0643733,14.0162768
45.0906483,14.1230586
45.091245,14.123745
45.0924899,14.1206261
45.0957783,14.1227059
45.0924289,14.1235632
45.0920951,14.1235757
45.1441373,13.9081786
45.1440005,13.9089133
45.1439986,13.9105297
45.2400649,13.9380954
45.2399222,13.9373757
45.2400493,13.9362725
45.2371769,14.2539536
45.3175786,13.5602777
45.3187063,13.5682882
45.4340047,13.5176807
45.4332864,13.5209506
45.4336014,13.5233396
45.439495,13.5253083
45.4084933,13.6582801
45.3334439,13.8254431
45.4078508,13.9654288
45.4082918,13.9656844
44.9584022,14.4107159
45.0262247,14.5736805
45.0267288,14.5727974
45.292617,14.2765254
45.1242534,14.5262892
45.122264,14.5264948
45.1252115,14.5277888
45.2743428,14.5693818
45.3117806,14.5517036
44.970197400000004,14.7522484
44.9922242,14.9006711
44.9900573,14.9006828
45.1734078,14.6915062
45.1736305,14.6919698
45.1736425,14.690712
45.1578778,14.7196389
45.1286889,14.7898285
45.1281753,14.7906451
45.3046606,14.7139269
45.3046708,14.7134461
45.3339415,14.3050174
45.3374049,14.3084773
45.3636231,14.3243329
45.3644696,14.3267585
45.3552025,14.3630701
45.3541207,14.3665362
45.3429751,14.3900917
45.3619031,14.3930848
45.3255508,14.443086
45.3254135,14.4433454
45.3279575,14.4384307
45.327806,14.4377774
45.325656,14.4427687
45.3263971,14.4407855
45.3274609,14.4389097
45.3399525,14.4275443
45.3305885,14.4351146
45.3308628,14.4329135
45.3289593,14.4405478
45.3259209,14.4444876
45.3271475,14.444663
45.3272745,14.4444138
45.326658,14.4441961
45.3263101,14.4444035
45.3264513,14.4465842
45.3269225,14.4459655
45.325331,14.4457114
45.3252767,14.4449457
45.3754312,14.3871962
45.3815277,14.3850231
45.3889438,14.4671373
45.3204842,14.4751414
45.3205241,14.4750373
45.3569681,14.4879476
45.5964707,14.645014
44.9990835,15.1300755
45.2658831,15.2262619
45.2650528,15.2257439
45.2664149,15.2257566
45.2675367,15.225964
45.1151507,15.5857368
