cname,region_code,name,year,EQIregion,nuts_level,NUTS0_code,NUTS1_code,NUTS2_code,NUTS0_name,NUTS1_name,NUTS2_name,EQI,EQI_me,EQI_low_me,EQI_high_me,qualityp,impartialityp,corruptionp,corruption_subPer,corruption_subExp
Austria,AT32,Salzburg,2024,407,2,AT,AT3,AT32,Österreich,Westösterreich,Salzburg,1.119,.228579,.890421,1.347579,1.282,1.198,.72,1.08654,1.00755
Austria,AT32,Salzburg,2013,407,2,AT,AT3,AT32,Österreich,Westösterreich,Salzburg,1.014,.422149,.591851,1.436149,.52,1.777,.659,,
Austria,AT32,Salzburg,2010,407,2,AT,AT3,AT32,Österreich,Westösterreich,Salzburg,1.025,.204921,.8200789999999999,1.229921,.61,1.183,1.181,,
Austria,AT32,Salzburg,2017,407,2,AT,AT3,AT32,Österreich,Westösterreich,Salzburg,.969,.229952,.7390479999999999,1.198952,.896,1.105,.8090000000000001,.995999,.229952
Austria,AT32,Salzburg,2021,407,2,AT,AT3,AT32,Österreich,Westösterreich,Salzburg,1.021,.15518,.8658199999999999,1.17618,.9320000000000001,1.351,.669,1.0378,.9450809999999999
Austria,AT33,Tirol,2017,408,2,AT,AT3,AT33,Österreich,Westösterreich,Tirol,1.106,.296198,.8098020000000001,1.402198,1.331,1.141,.734,1.0174,.296198
Austria,AT33,Tirol,2013,408,2,AT,AT3,AT33,Österreich,Westösterreich,Tirol,1.462,.247455,1.214545,1.709455,1.331,2.275,.656,,
Austria,AT33,Tirol,2010,408,2,AT,AT3,AT33,Österreich,Westösterreich,Tirol,1.485,.247883,1.237117,1.732883,1.388,1.534,1.384,,
Austria,AT33,Tirol,2024,408,2,AT,AT3,AT33,Österreich,Westösterreich,Tirol,.993,.169692,.8233079999999999,1.162692,1.193,1.325,.321,.802379,.547305
Austria,AT33,Tirol,2021,408,2,AT,AT3,AT33,Österreich,Westösterreich,Tirol,.998,.187739,.810261,1.185739,1.046,1.051,.787,1.00206,1.20168
Austria,AT34,Vorarlberg,2024,409,2,AT,AT3,AT34,Österreich,Westösterreich,Vorarlberg,.925,.209174,.7158260000000001,1.134174,1.093,1.005,.548,.775633,.996825
Austria,AT34,Vorarlberg,2021,409,2,AT,AT3,AT34,Österreich,Westösterreich,Vorarlberg,1.071,.25075,.8202499999999999,1.32175,1.168,1.099,.829,1.03548,1.2432
Austria,AT34,Vorarlberg,2017,409,2,AT,AT3,AT34,Österreich,Westösterreich,Vorarlberg,1.162,.152184,1.009816,1.314184,.908,1.46,1.001,.961062,.152184
Austria,AT34,Vorarlberg,2010,409,2,AT,AT3,AT34,Österreich,Westösterreich,Vorarlberg,1.148,.24244,.9055599999999999,1.39044,.327,1.493,1.51,,
Austria,AT34,Vorarlberg,2013,409,2,AT,AT3,AT34,Österreich,Westösterreich,Vorarlberg,.704,.5057160000000001,.1982839999999999,1.209716,.225,1.654,.174,,
Belgium,BE1,Region Brussels ,2024,1101,1,BE,BE1,,Belgique/België,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,NA,-.13,.373376,-.503376,.243376,.05,-.201,-.221,-.103907,-.921558
Belgium,BE1,Region Brussels ,2021,1101,1,BE,BE1,,Belgique/België,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,NA,-.108,.300539,-.408539,.192539,-.179,-.065,-.068,.120706,-.649265
Belgium,BE1,Region Brussels ,2010,1101,1,BE,BE1,,Belgique/België,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,NA,-.259,.389306,-.648306,.130306,.033,-.841,.056,,
Belgium,BE1,Region Brussels ,2017,1101,1,BE,BE1,,Belgique/België,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,NA,-.033,.398321,-.431321,.365321,-.278,-.426,.607,.282342,.398321
Belgium,BE1,Region Brussels ,2013,1101,1,BE,BE1,,Belgique/België,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,NA,.102,.393716,-.291716,.495716,-.078,-.321,.697,,
Belgium,BE2,Flanders,2021,1102,1,BE,BE2,,Belgique/België,Vlaams Gewest,NA,.719,.330283,.388717,1.049283,.569,.61,.899,.631177,.621703
Belgium,BE2,Flanders,2013,1102,1,BE,BE2,,Belgique/België,Vlaams Gewest,NA,1.1,.434073,.6659270000000002,1.534073,1.391,.974,.843,,
Belgium,BE2,Flanders,2017,1102,1,BE,BE2,,Belgique/België,Vlaams Gewest,NA,1.05,.371866,.678134,1.421866,1.179,.977,.887,.51988,.371866
Belgium,BE2,Flanders,2010,1102,1,BE,BE2,,Belgique/België,Vlaams Gewest,NA,.837,.453505,.383495,1.290505,.764,.976,.6889999999999999,,
Belgium,BE2,Flanders,2024,1102,1,BE,BE2,,Belgique/België,Vlaams Gewest,NA,.837,.397241,.439759,1.234241,.876,.6879999999999999,.83,.418791,.505615
Belgium,BE3,Wallonie,2024,1103,1,BE,BE3,,Belgique/België,Région wallonne,NA,.602,.227781,.374219,.829781,.254,.704,.763,.442987,.365276
Belgium,BE3,Wallonie,2017,1103,1,BE,BE3,,Belgique/België,Région wallonne,NA,.293,.366464,-.073464,.6594640000000001,.144,-.154,.858,.543145,.366464
Belgium,BE3,Wallonie,2010,1103,1,BE,BE3,,Belgique/België,Région wallonne,NA,.045,.334552,-.289552,.379552,.265,-.382,.247,,
Belgium,BE3,Wallonie,2013,1103,1,BE,BE3,,Belgique/België,Région wallonne,NA,.064,.378877,-.314877,.442877,.184,-.319,.323,,
Belgium,BE3,Wallonie,2021,1103,1,BE,BE3,,Belgique/België,Région wallonne,NA,.447,.210961,.236039,.657961,.063,.456,.773,.461673,.563535
Bulgaria,BG31,Severozapaden,2013,1701,2,BG,BG3,BG31,Bulgaria,Severna i Yugoiztochna Bulgaria,Severozapaden,-2.116,.438126,-2.554126,-1.677874,-1.873,-2.419,-1.876,,
Bulgaria,BG31,Severozapaden,2024,1701,2,BG,BG3,BG31,Bulgaria,Severna i Yugoiztochna Bulgaria,Severozapaden,-2.418,.411748,-2.829748,-2.006252,-2.703,-1.648,-2.563,-2.4869,-3.97126
Bulgaria,BG31,Severozapaden,2021,1701,2,BG,BG3,BG31,Bulgaria,Severna i Yugoiztochna Bulgaria,Severozapaden,-1.565,.323609,-1.888609,-1.241391,-1.717,-1.876,-.93,-2.34021,-1.09504
Bulgaria,BG31,Severozapaden,2010,1701,2,BG,BG3,BG31,Bulgaria,Severna i Yugoiztochna Bulgaria,Severozapaden,-2.507,.406329,-2.913329,-2.100671,-2.414,-2.743,-2.115,,
Bulgaria,BG31,Severozapaden,2017,1701,2,BG,BG3,BG31,Bulgaria,Severna i Yugoiztochna Bulgaria,Severozapaden,-2.145,.309433,-2.454433,-1.835567,-2.002,-2.686,-1.531,-1.12603,.309433
Bulgaria,BG32,Severen tsentralen,2017,1702,2,BG,BG3,BG32,Bulgaria,Severna i Yugoiztochna Bulgaria,Severen tsentralen,-.867,.423518,-1.290518,-.443482,-1.474,-.791,-.248,.055534,.423518
Bulgaria,BG32,Severen tsentralen,2021,1702,2,BG,BG3,BG32,Bulgaria,Severna i Yugoiztochna Bulgaria,Severen tsentralen,-1.223,.319623,-1.542623,-.9033770000000001,-1.336,-1.369,-.83,-2.4024,-.8450839999999999
Bulgaria,BG32,Severen tsentralen,2010,1702,2,BG,BG3,BG32,Bulgaria,Severna i Yugoiztochna Bulgaria,Severen tsentralen,-2.087,.512931,-2.599931,-1.574069,-3.145,-1.711,-1.197,,
Bulgaria,BG32,Severen tsentralen,2024,1702,2,BG,BG3,BG32,Bulgaria,Severna i Yugoiztochna Bulgaria,Severen tsentralen,-.5600000000000001,.241551,-.801551,-.3184490000000001,-1.392,-.1,-.11,-1.00204,-.882372
Bulgaria,BG32,Severen tsentralen,2013,1702,2,BG,BG3,BG32,Bulgaria,Severna i Yugoiztochna Bulgaria,Severen tsentralen,-1.552,.411246,-1.963246,-1.140754,-1.327,-1.952,-1.247,,
Bulgaria,BG33,Severoiztochen,2017,1703,2,BG,BG3,BG33,Bulgaria,Severna i Yugoiztochna Bulgaria,Severoiztochen,-1.235,.347083,-1.582083,-.8879170000000001,-1.212,-1.381,-.989,-.939223,.347083
