"Country_ID","Sector_ID","verified","allocatedFree","free_alloc_share"
"NL","C31-C33",10648,2636,0.24755822689707
"PL","C10-C12",565503,325312,0.575261316031922
"PL","C13-C15",0,0,NA
"PL","C16-C18",1514453,2050226,1
"PL","C19-C20",14758230,13835796,0.937496976263414
"PL","C21-C22",139810,38383,0.274536871468421
"PL","C23",14006187,13659823,0.975270642895172
"PL","C24",5559941,8141393,1
"PL","C25+C28",16681,2071,0.124153228223728
"PL","C26-C27",3312,0,0
"PL","C29-C30",0,0,NA
"PT","C10-C12",135688,82738,0.609766523200283
"PT","C13-C15",13798,19585,1
"PT","C16-C18",760107,775202,1
"PT","C19-C20",2846722,2402330,0.843893432516417
"PT","C23",4726704,4601395,0.973489137462384
"PT","C24",159321,125813,0.789682464960677
"PT","C29-C30",18747,3605,0.192297434256148
"RO","C10-C12",104521,75679,0.724055452971173
"RO","C16-C18",251907,349093,1
"RO","C19-C20",1893438,1931937,1
"RO","C21-C22",113665,26918,0.236818721682136
"RO","C23",6124655,5878613,0.959827614779935
"RO","C24",1942399,3747173,1
"RO","C25+C28",0,0,NA
"RO","C26-C27",972,0,0
"RO","C29-C30",50567,12598,0.249134811240532
"RO","C31-C33",0,0,NA
"SE","C10-C12",92760,119410,1
"SE","C16-C18",656067,3085716,1
"SE","C19-C20",3673621,3416361,0.929971001363505
"SE","C21-C22",4331,2325,0.536827522512122
"SE","C23",2475401,2287728,0.924184808845112
"SE","C24",6818544,6344590,0.930490439014546
"SE","C25+C28",9822,9061,0.92252087151293
"SE","C29-C30",35860,25241,0.703876185164529
"SI","C10-C12",5751,1371,0.238393322900365
"SI","C13-C15",829,969,1
"SI","C16-C18",188150,165559,0.879930906191868
"SI","C19-C20",7546,7137,0.945799098860323
"SI","C21-C22",48639,15538,0.319455580912437
"SI","C23",869980,808098,0.928869629186878
"SI","C24",244932,265285,1
"SI","C25+C28",0,0,NA
"SI","C29-C30",5659,2126,0.375684749955823
"SI","C31-C33",0,0,NA
"SK","C10-C12",51253,38568,0.752502292548729
"SK","C13-C15",0,0,NA
"SK","C16-C18",109209,300739,1
"SK","C19-C20",2349090,2359267,1
"SK","C21-C22",55475,16646,0.30006309148265
"SK","C23",2923281,3084029,1
"SK","C24",5484355,6656305,1
"SK","C25+C28",0,0,NA
"SK","C29-C30",80870,25011,0.3092741436874
"SK","C31-C33",0,0,NA
