"Country_ID","NUTS3_ID","NUTS_ID","Sector_ID","ets_emis_t","alloc_free_t"
"CZ","CZ020","CZ02","C19-C20",596701,436615
"CZ","CZ020","CZ02","C23",253709,269407
"CZ","CZ020","CZ02","C24",0,0
"CZ","CZ031","CZ03","C23",20937,47796
"CZ","CZ031","CZ03","C24",0,0
"CZ","CZ032","CZ03","C23",46725,38777
"CZ","CZ032","CZ03","C24",2681,2310
"CZ","CZ041","CZ04","C16-C18",5258,3645
"CZ","CZ041","CZ04","C23",72996,52066
"CZ","CZ042","CZ04","C16-C18",113,534
"CZ","CZ042","CZ04","C19-C20",404764,383695
"CZ","CZ042","CZ04","C23",771651,804651
"CZ","CZ042","CZ04","C24",20233,18301
"CZ","CZ051","CZ05","C16-C18",3298,2347
"CZ","CZ051","CZ05","C23",7283,6284
"CZ","CZ052","CZ05","C16-C18",6855,5901
"CZ","CZ052","CZ05","C23",0,0
"CZ","CZ053","CZ05","C19-C20",24200,15951
"CZ","CZ053","CZ05","C23",495545,557756
"CZ","CZ063","CZ06","C16-C18",12206,2838
"CZ","CZ063","CZ06","C23",12657,9303
"CZ","CZ064","CZ06","C23",587626,812294
"CZ","CZ071","CZ07","C16-C18",33851,40895
"CZ","CZ071","CZ07","C19-C20",88966,112534
"CZ","CZ071","CZ07","C23",695745,817172
"CZ","CZ072","CZ07","C23",788,1669
"CZ","CZ080","CZ08","C16-C18",8539,3929
"CZ","CZ080","CZ08","C19-C20",122613,138919
"CZ","CZ080","CZ08","C23",151339,115109
"CZ","CZ080","CZ08","C24",2674601,3429200
"DE","DE113","DE11","C16-C18",0,0
"DE","DE113","DE11","C24",15369,12694
"DE","DE115","DE11","C23",2704,4292
"DE","DE118","DE11","C16-C18",8226,6227
"DE","DE118","DE11","C23",53540,41076
"DE","DE11A","DE11","C16-C18",2877,3597
"DE","DE11A","DE11","C23",0,0
"DE","DE11C","DE11","C23",392981,468428
"DE","DE11D","DE11","C16-C18",53645,108041
"DE","DE122","DE12","C16-C18",115259,111541
"DE","DE122","DE12","C19-C20",2569583,1800550
"DE","DE123","DE12","C23",381688,446918
"DE","DE124","DE12","C16-C18",137638,147139
"DE","DE125","DE12","C23",19193,230247
"DE","DE126","DE12","C16-C18",195643,215787
"DE","DE126","DE12","C23",0,0
"DE","DE126","DE12","C24",21411,14853
"DE","DE127","DE12","C23",4640,7682
"DE","DE128","DE12","C23",48732,60158
"DE","DE12B","DE12","C23",0,0
"DE","DE12C","DE12","C16-C18",23082,19730
"DE","DE131","DE13","C19-C20",16745,14362
"DE","DE132","DE13","C16-C18",27478,17866
"DE","DE132","DE13","C23",36226,26769
"DE","DE134","DE13","C16-C18",48563,150982
"DE","DE134","DE13","C23",0,0
"DE","DE134","DE13","C24",119839,171500
"DE","DE135","DE13","C23",20541,6560
"DE","DE136","DE13","C23",0,0
"DE","DE138","DE13","C24",123004,86927
"DE","DE139","DE13","C23",79337,117508
"DE","DE141","DE14","C16-C18",30075,23550
"DE","DE143","DE14","C23",584007,621966
"DE","DE145","DE14","C16-C18",51835,77857
"DE","DE145","DE14","C23",1220770,1442405
"DE","DE147","DE14","C23",6636,8443
"DE","DE148","DE14","C16-C18",0,0
"DE","DE148","DE14","C23",83343,67107
"DE","DE214","DE21","C19-C20",1226334,1002225
"DE","DE214","DE21","C24",25406,25112
"DE","DE215","DE21","C24",0,0
"DE","DE217","DE21","C16-C18",0,0
"DE","DE217","DE21","C23",19261,24564
"DE","DE219","DE21","C19-C20",573123,472661
"DE","DE219","DE21","C23",41089,38456
"DE","DE21A","DE21","C23",11117,17564
"DE","DE21B","DE21","C23",5053,5698
"DE","DE21C","DE21","C23",12183,15146
"DE","DE21F","DE21","C16-C18",10076,6948
"DE","DE21G","DE21","C23",2635,3231
"DE","DE21H","DE21","C19-C20",71190,57451
"DE","DE21I","DE21","C16-C18",49742,28735
"DE","DE21I","DE21","C23",137459,157844
"DE","DE21J","DE21","C16-C18",2201,596
"DE","DE21J","DE21","C19-C20",682295,572775
"DE","DE21K","DE21","C16-C18",13795,12754
"DE","DE21K","DE21","C23",597861,643781
"DE","DE21M","DE21","C16-C18",5018,38936
"DE","DE21N","DE21","C16-C18",205,171123
"DE","DE223","DE22","C23",9760,12980
"DE","DE224","DE22","C16-C18",46833,127372
"DE","DE224","DE22","C23",80733,69999
"DE","DE226","DE22","C19-C20",813834,690202
"DE","DE226","DE22","C23",247141,220005
"DE","DE227","DE22","C23",52450,52735
"DE","DE228","DE22","C23",15182,20549
"DE","DE228","DE22","C24",26084,116915
"DE","DE229","DE22","C16-C18",1271,5417
"DE","DE229","DE22","C23",17939,16024
"DE","DE22A","DE22","C23",20924,30688
"DE","DE22B","DE22","C23",14807,18658
"DE","DE22C","DE22","C23",37607,33002
"DE","DE231","DE23","C24",0,0
"DE","DE232","DE23","C23",79655,110064
"DE","DE233","DE23","C23",15260,11657
"DE","DE234","DE23","C23",19711,26491
"DE","DE234","DE23","C24",3854,7578
"DE","DE235","DE23","C23",11690,10230
"DE","DE236","DE23","C23",41982,35006
"DE","DE237","DE23","C23",225582,164825
"DE","DE239","DE23","C23",683427,879237
"DE","DE23A","DE23","C23",85272,87751
"DE","DE248","DE24","C23",60075,35304
"DE","DE249","DE24","C16-C18",50963,34704
"DE","DE24A","DE24","C23",173600,139475
"DE","DE24B","DE24","C23",47180,47412
"DE","DE24D","DE24","C23",23635,21188
"DE","DE251","DE25","C23",8447,18735
"DE","DE256","DE25","C23",21246,6270
"DE","DE258","DE25","C23",8110,7424
"DE","DE25A","DE25","C23",0,0
"DE","DE25C","DE25","C23",243406,264300
"DE","DE261","DE26","C16-C18",1,82945
"DE","DE264","DE26","C16-C18",123742,62430
"DE","DE264","DE26","C23",8975,9348
"DE","DE266","DE26","C23",13287,23391
"DE","DE267","DE26","C16-C18",33179,131956
"DE","DE268","DE26","C23",57586,18472
"DE","DE268","DE26","C24",43721,32164
"DE","DE269","DE26","C16-C18",47669,24481
"DE","DE269","DE26","C23",16460,10826
"DE","DE26A","DE26","C23",1218791,1173134
"DE","DE26B","DE26","C23",4735,4296
"DE","DE26C","DE26","C23",94972,62335
"DE","DE271","DE27","C16-C18",46908,86277
"DE","DE271","DE27","C23",5735,7858
"DE","DE272","DE27","C16-C18",27564,18044
"DE","DE275","DE27","C23",7436,13424
"DE","DE276","DE27","C23",9141,11204
"DE","DE276","DE27","C24",107880,106929
"DE","DE277","DE27","C23",10546,11192
"DE","DE278","DE27","C23",27147,30613
"DE","DE279","DE27","C23",21039,25154
"DE","DE27B","DE27","C16-C18",5322,17738
"DE","DE27C","DE27","C16-C18",55052,90737
"DE","DE27C","DE27","C23",19674,29284
"DE","DE27D","DE27","C23",847927,714925
"DE","DE300","DE30","C16-C18",0,0
"DE","DE401","DE40","C24",126821,119792
"DE","DE407","DE40","C23",14168,12786
"DE","DE408","DE40","C23",34906,13706
"DE","DE409","DE40","C23",1051922,1333080
"DE","DE40A","DE40","C24",82522,70801
"DE","DE40B","DE40","C19-C20",0,0
"DE","DE40B","DE40","C23",27083,30430
"DE","DE40C","DE40","C16-C18",11,46410
"DE","DE40C","DE40","C23",131481,110502
"DE","DE40C","DE40","C24",1649458,2812427
"DE","DE40E","DE40","C23",9990,39936
"DE","DE40F","DE40","C23",8724,12746
"DE","DE40G","DE40","C16-C18",3425,75699
"DE","DE40G","DE40","C19-C20",0,0
"DE","DE40G","DE40","C23",122990,80210
"DE","DE40I","DE40","C16-C18",35695,120046
"DE","DE40I","DE40","C19-C20",3123277,1735280
"DE","DE501","DE50","C23",0,0
"DE","DE501","DE50","C24",2800457,4589220
"DE","DE502","DE50","C23",12875,23911
"DE","DE600","DE60","C19-C20",700545,728536
"DE","DE600","DE60","C24",410912,768762
"DE","DE712","DE71","C19-C20",48496,84014
"DE","DE714","DE71","C16-C18",64181,49317
"DE","DE714","DE71","C23",163500,158174
"DE","DE71C","DE71","C23",5603,9000
"DE","DE71E","DE71","C16-C18",0,0
"DE","DE71E","DE71","C23",0,0
"DE","DE721","DE72","C23",7925,8532
"DE","DE721","DE72","C24",17572,16636
"DE","DE722","DE72","C23",9163,11422
"DE","DE722","DE72","C24",100073,120734
"DE","DE723","DE72","C23",270478,170283
"DE","DE724","DE72","C24",217163,158019
"DE","DE732","DE73","C16-C18",136013,106469
"DE","DE732","DE73","C23",167553,153188
"DE","DE735","DE73","C23",41592,33165
"DE","DE736","DE73","C16-C18",68552,66214
"DE","DE737","DE73","C16-C18",8720,8070
"DE","DE737","DE73","C23",47991,26224
"DE","DE80K","DE80","C19-C20",87086,237418
"DE","DE80K","DE80","C23",0,0
"DE","DE80M","DE80","C19-C20",3269,2052
"DE","DE80N","DE80","C23",86640,54943
"DE","DE80O","DE80","C16-C18",3453,3566
"DE","DE80O","DE80","C23",17213,11361
"DE","DE912","DE91","C24",3693087,6374106
"DE","DE916","DE91","C23",309513,216746
"DE","DE916","DE91","C24",59938,50196
"DE","DE918","DE91","C23",51141,40137
"DE","DE91A","DE91","C23",63010,34774
"DE","DE91A","DE91","C24",125981,110478
"DE","DE91B","DE91","C23",60545,42925
"DE","DE91C","DE91","C16-C18",78184,60406
"DE","DE91C","DE91","C19-C20",585,0
"DE","DE91C","DE91","C23",29701,28682
"DE","DE91C","DE91","C24",17720,13497
"DE","DE922","DE92","C19-C20",1365,1298
"DE","DE922","DE92","C23",0,0
"DE","DE923","DE92","C23",19434,13493
"DE","DE925","DE92","C16-C18",18546,101507
"DE","DE925","DE92","C23",126571,72861
"DE","DE926","DE92","C16-C18",0,0
"DE","DE926","DE92","C23",138528,82671
"DE","DE927","DE92","C16-C18",101174,95029
"DE","DE927","DE92","C19-C20",1601,79726
"DE","DE927","DE92","C23",84935,80995
"DE","DE928","DE92","C23",92566,71010
"DE","DE929","DE92","C19-C20",21665,15307
"DE","DE929","DE92","C23",950360,1014874
"DE","DE931","DE93","C16-C18",2708,46794
"DE","DE932","DE93","C23",0,0
"DE","DE936","DE93","C23",0,0
"DE","DE939","DE93","C19-C20",17883,119257
"DE","DE939","DE93","C24",192069,142859
"DE","DE93A","DE93","C23",168356,77966
"DE","DE944","DE94","C16-C18",2814,88948
"DE","DE944","DE94","C24",8060,9877
"DE","DE945","DE94","C19-C20",154637,113276
"DE","DE946","DE94","C23",32949,22740
"DE","DE948","DE94","C23",0,0
"DE","DE949","DE94","C16-C18",226937,304376
"DE","DE949","DE94","C19-C20",1016662,723443
"DE","DE949","DE94","C24",40377,39731
"DE","DE94A","DE94","C16-C18",246125,174781
"DE","DE94A","DE94","C23",11071,9230
"DE","DE94B","DE94","C23",7405,6310
"DE","DE94C","DE94","C16-C18",4139,14567
"DE","DE94D","DE94","C23",8384,9729
"DE","DE94E","DE94","C16-C18",0,0
"DE","DE94E","DE94","C23",53684,49414
"DE","DE94E","DE94","C24",160691,125756
"DE","DE94F","DE94","C23",11800,9701
"DE","DE94G","DE94","C16-C18",15191,17636
"DE","DE94G","DE94","C24",91858,82200
"DE","DE94H","DE94","C23",2953,2654
"DE","DEA11","DEA1","C16-C18",22888,22112
"DE","DEA11","DEA1","C19-C20",1079,67963
"DE","DEA11","DEA1","C23",75123,82830
"DE","DEA11","DEA1","C24",53737,75080
"DE","DEA12","DEA1","C16-C18",0,0
"DE","DEA12","DEA1","C19-C20",1887535,563748
"DE","DEA12","DEA1","C24",12697141,21591301
"DE","DEA13","DEA1","C23",161836,131529
"DE","DEA13","DEA1","C24",107285,203702
"DE","DEA14","DEA1","C19-C20",16668,54206
"DE","DEA14","DEA1","C24",54697,52656
"DE","DEA16","DEA1","C19-C20",0,0
"DE","DEA16","DEA1","C24",38388,27895
"DE","DEA17","DEA1","C19-C20",47484,79275
"DE","DEA18","DEA1","C24",0,0
"DE","DEA1A","DEA1","C23",228411,178610
"DE","DEA1B","DEA1","C19-C20",21653,43825
"DE","DEA1B","DEA1","C23",67022,35879
"DE","DEA1B","DEA1","C24",16327,12348
"DE","DEA1C","DEA1","C23",1592722,1172216
"DE","DEA1C","DEA1","C24",74268,66254
"DE","DEA1D","DEA1","C16-C18",108762,111521
"DE","DEA1D","DEA1","C19-C20",92074,97800
"DE","DEA1D","DEA1","C23",0,0
"DE","DEA1D","DEA1","C24",419010,515251
"DE","DEA1E","DEA1","C16-C18",0,0
"DE","DEA1E","DEA1","C23",18540,14561
"DE","DEA1F","DEA1","C19-C20",229091,615436
"DE","DEA1F","DEA1","C23",5045,1550
"DE","DEA1F","DEA1","C24",121306,157773
"DE","DEA22","DEA2","C23",38444,20824
"DE","DEA23","DEA2","C19-C20",2611456,2948972
"DE","DEA23","DEA2","C23",1783,115082
"DE","DEA24","DEA2","C19-C20",113702,347826
"DE","DEA26","DEA2","C16-C18",279572,243051
"DE","DEA26","DEA2","C23",81711,74273
"DE","DEA27","DEA2","C16-C18",6,61092
"DE","DEA27","DEA2","C19-C20",3897008,3083475
"DE","DEA27","DEA2","C23",0,0
"DE","DEA27","DEA2","C24",114660,76013
"DE","DEA28","DEA2","C16-C18",198975,129118
"DE","DEA28","DEA2","C23",47882,37872
"DE","DEA28","DEA2","C24",15295,15113
"DE","DEA2A","DEA2","C16-C18",0,0
"DE","DEA2B","DEA2","C16-C18",0,0
"DE","DEA2B","DEA2","C23",33831,19115
"DE","DEA2C","DEA2","C23",25464,26294
"DE","DEA2C","DEA2","C24",17364,15580
"DE","DEA2D","DEA2","C23",167614,151313
"DE","DEA2D","DEA2","C24",63171,21585
"DE","DEA31","DEA3","C19-C20",326713,289316
"DE","DEA32","DEA3","C16-C18",0,45297
"DE","DEA32","DEA3","C19-C20",3578607,2893953
"DE","DEA32","DEA3","C23",17105,8002
"DE","DEA32","DEA3","C24",28841,24583
"DE","DEA33","DEA3","C23",8411,6047
"DE","DEA34","DEA3","C16-C18",34217,23210
"DE","DEA34","DEA3","C23",2964,3060
"DE","DEA35","DEA3","C23",8148,14947
"DE","DEA36","DEA3","C19-C20",543415,761001
"DE","DEA36","DEA3","C23",276157,242329
"DE","DEA37","DEA3","C19-C20",0,0
"DE","DEA37","DEA3","C23",959793,978351
"DE","DEA38","DEA3","C23",1170178,1232686
"DE","DEA41","DEA4","C16-C18",8574,37463
"DE","DEA42","DEA4","C23",10393,22383
"DE","DEA43","DEA4","C23",0,0
"DE","DEA44","DEA4","C23",31600,31764
"DE","DEA45","DEA4","C23",47713,34490
"DE","DEA46","DEA4","C23",8699,10449
"DE","DEA46","DEA4","C24",19548,17690
"DE","DEA47","DEA4","C23",63244,202623
"DE","DEA47","DEA4","C24",25568,20778
"DE","DEA51","DEA5","C24",215377,154869
"DE","DEA52","DEA5","C19-C20",271876,186833
"DE","DEA52","DEA5","C24",67346,43156
"DE","DEA53","DEA5","C16-C18",61642,92279
"DE","DEA53","DEA5","C23",0,0
"DE","DEA53","DEA5","C24",97797,87610
"DE","DEA55","DEA5","C19-C20",54923,64041
