"id","Country_ID","activity_id","Sector_ID","nace_id","lat","lon","NUTS3_ID","NUTS_ID","verified","allocatedFree"
"IT_202676","IT",20,"C10-C12",10.39,44.1469589,12.2554243,"ITH58","ITH5",0,0
"IT_202673","IT",20,"C23",23.31,44.5627392,10.8002136,"ITH54","ITH5",31379,23987
"IT_202523","IT",20,"C23",23.42,42.7027162,13.8150467,"ITF12","ITF1",0,0
"IT_202461","IT",20,"C23",23.31,44.5587323,10.8216998,"ITH54","ITH5",28768,18090
"IT_202148","IT",20,"C10-C12",10.62,45.022199,11.3114098,"ITH37","ITH3",9226,66586
"IT_893","IT",20,"C19-C20",20.14,39.0809322,9.0117813,"ITG2F","ITG2",38785,37400
"IT_759","IT",20,"C19-C20",20.14,37.222126,15.1694765,"ITG19","ITG1",261391,313398
"IT_1029","IT",20,"C10-C12",11.07,45.6059859,11.8008208,"ITH36","ITH3",0,0
"IT_758","IT",20,"C10-C12",11.07,45.8371627,9.6736947,"ITC46","ITC4",0,0
"IT_1144","IT",20,"C21-C22",21.1,40.635537,17.9543372,"ITF44","ITF4",21352,12500
"IT_215","IT",20,"C21-C22",21.1,45.8628183,11.0261955,"ITH20","ITH2",49340,20316
"IT_55","IT",20,"C21-C22",21.1,44.2117868,8.0155713,"ITC16","ITC1",0,0
"IT_367","IT",20,"C23",23.2,44.0236294,10.112393,"ITI11","ITI1",2292,3265
"IT_150","IT",20,"C13-C15",13.99,45.578832,9.570275,"ITC46","ITC4",0,0
"IT_490","IT",20,"C10-C12",10.73,42.1000569,14.2144792,"ITF14","ITF1",0,0
"IT_849","IT",20,"C13-C15",13.3,43.8540376,11.0601688,"ITI15","ITI1",0,0
"IT_152","IT",20,"C13-C15",13.3,45.6125863,9.6946565,"ITC46","ITC4",0,0
"IT_934","IT",20,"C10-C12",11.05,41.9038637,12.5978973,"ITI43","ITI4",0,0
"IT_933","IT",20,"C10-C12",11.05,45.4266466,11.9259985,"ITH36","ITH3",0,0
"IT_1078","IT",20,"C10-C12",10.13,45.436116,11.6064732,"ITH32","ITH3",10516,1782
"IT_225","IT",20,"C10-C12",10.13,45.4300216,11.0716224,"ITH31","ITH3",20452,5146
"IT_848","IT",20,"C10-C12",10.39,41.0878359,15.8785733,"ITF51","ITF5",5754,820
"IT_675","IT",20,"C10-C12",11.05,41.0958828,16.8438804,"ITF47","ITF4",0,0
"IT_70","IT",20,"C10-C12",10.62,44.7584678,8.8547061,"ITC18","ITC1",175845,76417
"IT_886","IT",20,"C13-C15",13.3,43.87874,11.06979,"ITI15","ITI1",9259,5242
"IT_342","IT",20,"C19-C20",20.14,44.648848,11.379798,"ITH55","ITH5",0,0
"IT_990","IT",20,"C19-C20",20.41,41.6984195,12.5834144,"ITI43","ITI4",0,0
"IT_413","IT",20,"C29-C30",30.91,43.6616426,10.6242741,"ITI17","ITI1",7699,2039
"IT_877","IT",20,"C10-C12",10.51,44.7544792,10.2040155,"ITH52","ITH5",31960,5676
"IT_843","IT",20,"C26-C27",27.51,45.8594127,12.2706126,"ITH34","ITH3",0,0
"IT_844","IT",20,"C26-C27",27.51,45.9680153,12.6237513,"ITH41","ITH4",4058,1122
"IT_59","IT",20,"C10-C12",10.73,44.7633412,7.5318657,"ITC16","ITC1",0,0
"IT_930","IT",20,"C10-C12",10.39,44.6870771,10.3749074,"ITH52","ITH5",19721,5628
"IT_233","IT",20,"C16-C18",18.12,45.439473,11.0350052,"ITH31","ITH3",0,0
"IT_1250","IT",20,"C21-C22",22.21,45.7593621,8.8654911,"ITC41","ITC4",2160,2997
"IT_1027","IT",20,"C26-C27",27.51,43.1653684,12.7448098,"ITI21","ITI2",0,0
"IT_943","IT",20,"C10-C12",10.39,44.7508072,10.3162109,"ITH52","ITH5",6674,3779
"IT_56","IT",20,"C13-C15",13.3,44.7880336,8.0993045,"ITC16","ITC1",0,0
"IT_739","IT",20,"C26-C27",26.11,41.9976277,13.4262188,"ITF11","ITF1",78181,3468
"IT_68","IT",20,"C21-C22",22.11,45.167758,8.465779,"ITC18","ITC1",27104,5230
"IT_640","IT",20,"C16-C18",16.21,45.2432504,8.7220727,"ITC48","ITC4",8615,34194
"IT_204","IT",20,"C16-C18",16.21,44.9288765,10.5087046,"ITC4B","ITC4",9500,38118
"IT_638","IT",20,"C16-C18",16.21,45.0689531,11.1352665,"ITC4B","ITC4",6600,0
"IT_643","IT",20,"C16-C18",16.21,42.8959224,11.7673844,"ITI19","ITI1",0,0
"IT_1229","IT",20,"C29-C30",30.3,45.742171,8.8822428,"ITC41","ITC4",5895,1275
